Model,DPO4034,x
Firmware Version,2.1,x
,,x
Point Format,Y,x
Horizontal Units,S,x
Horizontal Scale,0.0002,x
Sample Interval,2.00E-07,x
Record Length,10000,x
Probe Attenuation,10,10
Vertical Units,V,V
Vertical Offset,0,0
Vertical Scale,2,2
Label,,
TIME,CH1,CH2
-6.56E-04,4.69594,4.87219
-6.56E-04,4.68906,4.8575
-6.56E-04,4.6975,4.85281
-6.55E-04,4.685,4.86781
-6.55E-04,4.68562,4.86156
-6.55E-04,4.69313,4.86531
-6.55E-04,4.69937,4.85938
-6.55E-04,4.69031,4.87375
-6.54E-04,4.6925,4.86094
-6.54E-04,4.695,4.85594
-6.54E-04,4.69625,4.86625
-6.54E-04,4.69562,4.86438
-6.54E-04,4.69875,4.85938
-6.53E-04,4.69906,4.85656
-6.53E-04,4.69313,4.85969
-6.53E-04,4.69344,4.86156
-6.53E-04,4.69031,4.86469
-6.53E-04,4.69469,4.86094
-6.52E-04,4.69437,4.85719
-6.52E-04,4.70531,4.86375
-6.52E-04,4.69375,4.85875
-6.52E-04,4.69313,4.85094
-6.52E-04,4.69562,4.87219
-6.51E-04,4.69156,4.86469
-6.51E-04,4.68938,4.84594
-6.51E-04,4.70094,4.85625
-6.51E-04,4.68625,4.85406
-6.51E-04,4.68906,4.86969
-6.50E-04,4.70156,4.86656
-6.50E-04,4.69813,4.86219
-6.50E-04,4.70344,4.87344
-6.50E-04,4.69688,4.85344
-6.50E-04,4.70438,4.86906
-6.49E-04,4.70312,4.85031
-6.49E-04,4.7025,4.86688
-6.49E-04,4.70125,4.87312
-6.49E-04,4.70312,4.87813
-6.49E-04,4.68562,4.83938
-6.48E-04,4.69062,4.86125
-6.48E-04,4.70406,4.85844
-6.48E-04,4.69906,4.865
-6.48E-04,4.69156,4.84938
-6.48E-04,4.69156,4.86125
-6.47E-04,4.70469,4.85156
-6.47E-04,4.69625,4.86344
-6.47E-04,4.69562,4.85594
-6.47E-04,4.69906,4.8625
-6.47E-04,4.70344,4.87188
-6.46E-04,4.69281,4.85219
-6.46E-04,4.68688,4.86563
-6.46E-04,4.69281,4.86469
-6.46E-04,4.70031,4.85438
-6.46E-04,4.68875,4.86156
-6.45E-04,4.69469,4.85781
-6.45E-04,4.69281,4.85031
-6.45E-04,4.695,4.87
-6.45E-04,4.6875,4.85813
-6.45E-04,4.69531,4.85469
-6.44E-04,4.68594,4.87594
-6.44E-04,4.69656,4.86313
-6.44E-04,4.69031,4.86219
-6.44E-04,4.68906,4.86125
-6.44E-04,4.70063,4.86375
-6.43E-04,4.70094,4.865
-6.43E-04,4.68281,4.86188
-6.43E-04,4.69313,4.85844
-6.43E-04,4.70187,4.8575
-6.43E-04,4.70562,4.86656
-6.42E-04,4.68906,4.84094
-6.42E-04,4.6975,4.89875
-6.42E-04,4.69875,4.8725
-6.42E-04,4.68719,4.86469
-6.42E-04,4.69844,4.85875
-6.41E-04,4.68531,4.84406
-6.41E-04,4.69531,4.86156
-6.41E-04,4.69094,4.86563
-6.41E-04,4.68875,4.85844
-6.41E-04,4.69875,4.87156
-6.40E-04,4.695,4.85531
-6.40E-04,4.69594,4.86375
-6.40E-04,4.69719,4.86656
-6.40E-04,4.68969,4.87469
-6.40E-04,4.69656,4.85781
-6.39E-04,4.68812,4.88063
-6.39E-04,4.68531,4.86969
-6.39E-04,4.70187,4.865
-6.39E-04,4.70156,4.88469
-6.39E-04,4.68063,4.85562
-6.38E-04,4.68781,4.85469
-6.38E-04,4.69906,4.86031
-6.38E-04,4.69781,4.86438
-6.38E-04,4.71094,4.87125
-6.38E-04,4.69281,4.86656
-6.37E-04,4.69031,4.85781
-6.37E-04,4.695,4.86469
-6.37E-04,4.69656,4.855
-6.37E-04,4.69813,4.86438
-6.37E-04,4.70344,4.85688
-6.36E-04,4.695,4.85438
-6.36E-04,4.69156,4.87625
-6.36E-04,4.69781,4.84938
-6.36E-04,4.68625,4.85375
-6.36E-04,4.69406,4.86313
-6.35E-04,4.69719,4.85469
-6.35E-04,4.70219,4.85781
-6.35E-04,4.69875,4.85969
-6.35E-04,4.70344,4.85781
-6.35E-04,4.68063,4.85531
-6.34E-04,4.69375,4.86219
-6.34E-04,4.69813,4.86031
-6.34E-04,4.69062,4.865
-6.34E-04,4.68,4.86281
-6.34E-04,4.68969,4.86469
-6.33E-04,4.69781,4.86313
-6.33E-04,4.70469,4.87625
-6.33E-04,4.7075,4.84
-6.33E-04,4.69531,4.89813
-6.33E-04,4.68906,4.89156
-6.32E-04,4.69781,4.85688
-6.32E-04,4.69875,4.86656
-6.32E-04,4.70375,4.87844
-6.32E-04,4.69406,4.86781
-6.32E-04,4.69813,4.86188
-6.31E-04,4.70031,4.85313
-6.31E-04,4.68875,4.86594
-6.31E-04,4.69156,4.86469
-6.31E-04,4.69813,4.86656
-6.31E-04,4.69594,4.84531
-6.30E-04,4.70063,4.87719
-6.30E-04,4.69594,4.86313
-6.30E-04,4.69719,4.84313
-6.30E-04,4.68594,4.90406
-6.30E-04,4.69813,4.85938
-6.29E-04,4.69969,4.86344
-6.29E-04,4.69094,4.87125
-6.29E-04,4.68781,4.86563
-6.29E-04,4.70125,4.86094
-6.29E-04,4.69031,4.87
-6.28E-04,4.69688,4.87438
-6.28E-04,4.70156,4.87156
-6.28E-04,4.68781,4.87156
-6.28E-04,4.68719,4.86094
-6.28E-04,4.69375,4.85594
-6.27E-04,4.68719,4.86625
-6.27E-04,4.69625,4.86688
-6.27E-04,4.69813,4.86313
-6.27E-04,4.69031,4.84406
-6.27E-04,4.69062,4.85375
-6.26E-04,4.69562,4.86125
-6.26E-04,4.69125,4.85344
-6.26E-04,4.68688,4.855
-6.26E-04,4.69844,4.85188
-6.26E-04,4.7,4.86656
-6.25E-04,4.6975,4.87063
-6.25E-04,4.71031,4.87031
-6.25E-04,4.69094,4.86344
-6.25E-04,4.705,4.86594
-6.25E-04,4.69531,4.8675
-6.24E-04,4.69594,4.86125
-6.24E-04,4.7,4.855
-6.24E-04,4.69875,4.85281
-6.24E-04,4.69,4.85875
-6.24E-04,4.695,4.8725
-6.23E-04,4.68906,4.83875
-6.23E-04,4.69062,4.89156
-6.23E-04,4.69031,4.86313
-6.23E-04,4.70406,4.86594
-6.23E-04,4.6925,4.86094
-6.22E-04,4.68844,4.86063
-6.22E-04,4.69969,4.86594
-6.22E-04,4.69406,4.86906
-6.22E-04,4.69406,4.86406
-6.22E-04,4.68969,4.86063
-6.21E-04,4.69594,4.86781
-6.21E-04,4.69562,4.86344
-6.21E-04,4.70438,4.85375
-6.21E-04,4.70125,4.86125
-6.21E-04,4.69062,4.9575
-6.20E-04,4.7175,4.75531
-6.20E-04,4.68906,4.88125
-6.20E-04,4.68969,4.86125
-6.20E-04,4.69406,4.8525
-6.20E-04,4.69219,4.87094
-6.19E-04,4.69062,4.87625
-6.19E-04,4.69125,4.85844
-6.19E-04,4.69469,4.86781
-6.19E-04,4.69813,4.86625
-6.19E-04,4.70125,4.87594
-6.18E-04,4.69875,4.86813
-6.18E-04,4.69688,4.86281
-6.18E-04,4.70312,4.87
-6.18E-04,4.70406,4.86937
-6.18E-04,4.69688,4.86656
-6.17E-04,4.69719,4.87031
-6.17E-04,4.69969,4.86125
-6.17E-04,4.69688,4.86156
-6.17E-04,4.69781,4.86156
-6.17E-04,4.69688,4.85719
-6.16E-04,4.7075,4.85156
-6.16E-04,4.70094,4.86719
-6.16E-04,4.69313,4.87188
-6.16E-04,4.69469,4.86156
-6.16E-04,4.70312,4.86125
-6.15E-04,4.69437,4.86688
-6.15E-04,4.69469,4.86719
-6.15E-04,4.68344,4.87125
-6.15E-04,4.68719,4.86313
-6.15E-04,4.70562,4.86719
-6.14E-04,4.68875,4.86219
-6.14E-04,4.69156,4.86094
-6.14E-04,4.69219,4.83281
-6.14E-04,4.69437,4.88938
-6.14E-04,4.6975,4.87094
-6.13E-04,4.69281,4.85906
-6.13E-04,4.70812,4.87188
-6.13E-04,4.70281,4.86594
-6.13E-04,4.70219,4.86594
-6.13E-04,4.69469,4.87188
-6.12E-04,4.68844,4.85875
-6.12E-04,4.69656,4.86031
-6.12E-04,4.685,4.86406
-6.12E-04,4.69906,4.86719
-6.12E-04,4.71,4.8575
-6.11E-04,4.69625,4.85688
-6.11E-04,4.685,4.86438
-6.11E-04,4.72125,4.91719
-6.11E-04,4.69813,4.81
-6.11E-04,4.69094,4.87688
-6.10E-04,4.70531,4.87438
-6.10E-04,4.71625,4.86125
-6.10E-04,4.70125,4.87844
-6.10E-04,4.70406,4.86438
-6.10E-04,4.69875,4.86656
-6.09E-04,4.70375,4.86906
-6.09E-04,4.70625,4.87063
-6.09E-04,4.70875,4.85656
-6.09E-04,4.69813,4.86906
-6.09E-04,4.71281,4.86219
-6.08E-04,4.71906,4.86469
-6.08E-04,4.70812,4.87656
-6.08E-04,4.70406,4.86844
-6.08E-04,4.71,4.86313
-6.08E-04,4.70063,4.86281
-6.07E-04,4.70187,4.86906
-6.07E-04,4.68281,4.86937
-6.07E-04,4.70312,4.86344
-6.07E-04,4.7075,4.86375
-6.07E-04,4.7025,4.86906
-6.06E-04,4.7075,4.865
-6.06E-04,4.70187,4.86375
-6.06E-04,4.70688,4.86531
-6.06E-04,4.70469,4.86313
-6.06E-04,4.70594,4.8575
-6.05E-04,4.70969,4.8675
-6.05E-04,4.69781,4.85875
-6.05E-04,4.7,4.85625
-6.05E-04,4.68406,4.86
-6.05E-04,4.68875,4.81281
-6.04E-04,4.6975,4.89469
-6.04E-04,4.70438,4.88031
-6.04E-04,4.68844,4.85406
-6.04E-04,4.70844,4.86406
-6.04E-04,4.69344,4.8475
-6.03E-04,4.69937,4.86594
-6.03E-04,4.70156,4.86469
-6.03E-04,4.7075,4.86125
-6.03E-04,4.69094,4.87281
-6.03E-04,4.69469,4.86063
-6.02E-04,4.69313,4.85719
-6.02E-04,4.70125,4.85688
-6.02E-04,4.69656,4.8575
-6.02E-04,4.70031,4.86188
-6.02E-04,4.6975,4.80188
-6.01E-04,4.68156,4.95188
-6.01E-04,4.69531,4.82719
-6.01E-04,4.70875,4.87
-6.01E-04,4.69594,4.86969
-6.01E-04,4.70094,4.86313
-6.00E-04,4.70187,4.86688
-6.00E-04,4.69344,4.86094
-6.00E-04,4.69437,4.86063
-6.00E-04,4.7025,4.86438
-6.00E-04,4.69937,4.85469
-5.99E-04,4.69844,4.85438
-5.99E-04,4.705,4.86781
-5.99E-04,4.70156,4.85594
-5.99E-04,4.70781,4.85844
-5.99E-04,4.705,4.87031
-5.98E-04,4.69937,4.85375
-5.98E-04,4.69625,4.87
-5.98E-04,4.69625,4.85906
-5.98E-04,4.70656,4.8475
-5.98E-04,4.68594,4.86688
-5.97E-04,4.69625,4.87
-5.97E-04,4.685,4.85656
-5.97E-04,4.70937,4.86406
-5.97E-04,4.69562,4.86719
-5.97E-04,4.70875,4.85938
-5.96E-04,4.70781,4.87125
-5.96E-04,4.69344,4.86
-5.96E-04,4.70438,4.87063
-5.96E-04,4.69844,4.87
-5.96E-04,4.69094,4.87875
-5.95E-04,4.70125,4.86594
-5.95E-04,4.68406,4.84563
-5.95E-04,4.69,4.86406
-5.95E-04,4.68438,4.89344
-5.95E-04,4.68781,4.85469
-5.94E-04,4.69125,4.84625
-5.94E-04,4.69813,4.8625
-5.94E-04,4.69313,4.86625
-5.94E-04,4.70281,4.85719
-5.94E-04,4.70562,4.86563
-5.93E-04,4.69844,4.86563
-5.93E-04,4.71094,4.87438
-5.93E-04,4.68594,4.85031
-5.93E-04,4.68156,4.84313
-5.93E-04,4.69719,4.84906
-5.92E-04,4.7025,4.8575
-5.92E-04,4.68875,4.93187
-5.92E-04,4.70406,4.78563
-5.92E-04,4.68656,4.85375
-5.92E-04,4.69875,4.86406
-5.91E-04,4.69,4.84625
-5.91E-04,4.69656,4.8675
-5.91E-04,4.70406,4.85719
-5.91E-04,4.69531,4.84906
-5.91E-04,4.69469,4.86156
-5.90E-04,4.6975,4.85656
-5.90E-04,4.68594,4.85094
-5.90E-04,4.685,4.86375
-5.90E-04,4.67781,4.8575
-5.90E-04,4.69219,4.85313
-5.89E-04,4.68906,4.84469
-5.89E-04,4.69125,4.85656
-5.89E-04,4.68531,4.8675
-5.89E-04,4.68594,4.85313
-5.89E-04,4.70094,4.85875
-5.88E-04,4.69625,4.86188
-5.88E-04,4.69594,4.85719
-5.88E-04,4.69062,4.86969
-5.88E-04,4.70094,4.85813
-5.88E-04,4.69656,4.87094
-5.87E-04,4.67938,4.86313
-5.87E-04,4.68812,4.86281
-5.87E-04,4.7025,4.87406
-5.87E-04,4.70469,4.87375
-5.87E-04,4.69688,4.87156
-5.86E-04,4.69281,4.87563
-5.86E-04,4.69937,4.86469
-5.86E-04,4.69813,4.86188
-5.86E-04,4.69937,4.85531
-5.86E-04,4.6875,4.8325
-5.85E-04,4.69437,4.9025
-5.85E-04,4.70156,4.8575
-5.85E-04,4.6975,4.86406
-5.85E-04,4.69781,4.86531
-5.85E-04,4.69031,4.8625
-5.84E-04,4.6975,4.86563
-5.84E-04,4.70094,4.87312
-5.84E-04,4.69562,4.86531
-5.84E-04,4.69937,4.8675
-5.84E-04,4.68906,4.86438
-5.83E-04,4.69719,4.86219
-5.83E-04,4.69031,4.86188
-5.83E-04,4.68906,4.86125
-5.83E-04,4.7025,4.86375
-5.83E-04,4.69344,4.86094
-5.82E-04,4.69844,4.88469
-5.82E-04,4.69062,4.82688
-5.82E-04,4.69062,4.86781
-5.82E-04,4.69313,4.84
-5.82E-04,4.68781,4.87469
-5.81E-04,4.69562,4.855
-5.81E-04,4.69781,4.86
-5.81E-04,4.69375,4.87656
-5.81E-04,4.70125,4.85562
-5.81E-04,4.68406,4.86188
-5.80E-04,4.7,4.85156
-5.80E-04,4.69594,4.85063
-5.80E-04,4.70063,4.85156
-5.80E-04,4.69937,4.86281
-5.80E-04,4.69594,4.86344
-5.79E-04,4.68688,4.86344
-5.79E-04,4.7075,4.86719
-5.79E-04,4.68656,4.85656
-5.79E-04,4.69875,4.85594
-5.79E-04,4.70094,4.86375
-5.78E-04,4.68219,4.86531
-5.78E-04,4.69406,4.8675
-5.78E-04,4.69875,4.85875
-5.78E-04,4.69156,4.85594
-5.78E-04,4.69281,4.85969
-5.77E-04,4.69844,4.85906
-5.77E-04,4.69437,4.8675
-5.77E-04,4.70156,4.86063
-5.77E-04,4.69656,4.85875
-5.77E-04,4.69062,4.86531
-5.76E-04,4.68938,4.81938
-5.76E-04,4.69531,4.9
-5.76E-04,4.69219,4.86156
-5.76E-04,4.69531,4.8575
-5.76E-04,4.70094,4.84438
-5.75E-04,4.69125,4.86219
-5.75E-04,4.70156,4.85219
-5.75E-04,4.68844,4.85688
-5.75E-04,4.69469,4.85406
-5.75E-04,4.69844,4.86375
-5.74E-04,4.70469,4.86313
-5.74E-04,4.68031,4.86344
-5.74E-04,4.69906,4.86125
-5.74E-04,4.68812,4.85938
-5.74E-04,4.69656,4.855
-5.73E-04,4.69125,4.975
-5.73E-04,4.69656,4.73094
-5.73E-04,4.69062,4.88281
-5.73E-04,4.69688,4.855
-5.73E-04,4.68406,4.84563
-5.72E-04,4.68938,4.85844
-5.72E-04,4.69375,4.85875
-5.72E-04,4.70125,4.87
-5.72E-04,4.69531,4.86125
-5.72E-04,4.70438,4.85313
-5.71E-04,4.68844,4.86656
-5.71E-04,4.70438,4.86625
-5.71E-04,4.70063,4.87094
-5.71E-04,4.69344,4.86094
-5.71E-04,4.69688,4.85844
-5.70E-04,4.70156,4.87063
-5.70E-04,4.69937,4.86688
-5.70E-04,4.69594,4.86531
-5.70E-04,4.70281,4.86219
-5.70E-04,4.6875,4.86406
-5.69E-04,4.69688,4.86813
-5.69E-04,4.69906,4.87219
-5.69E-04,4.69969,4.86031
-5.69E-04,4.68469,4.86844
-5.69E-04,4.68844,4.85719
-5.68E-04,4.6925,4.87188
-5.68E-04,4.69781,4.86594
-5.68E-04,4.68063,4.86219
-5.68E-04,4.6825,4.85844
-5.68E-04,4.69062,4.86469
-5.67E-04,4.69281,4.86094
-5.67E-04,4.68719,4.81813
-5.67E-04,4.69813,4.9075
-5.67E-04,4.69531,4.87781
-5.67E-04,4.7025,4.86719
-5.66E-04,4.69813,4.86906
-5.66E-04,4.70219,4.86625
-5.66E-04,4.7075,4.86031
-5.66E-04,4.69313,4.8675
-5.66E-04,4.69313,4.86688
-5.65E-04,4.69562,4.86281
-5.65E-04,4.69688,4.86625
-5.65E-04,4.68812,4.88406
-5.65E-04,4.69031,4.86188
-5.65E-04,4.69844,4.86406
-5.64E-04,4.69688,4.86656
-5.64E-04,4.70281,4.87344
-5.64E-04,4.69062,4.95531
-5.64E-04,4.69281,4.76688
-5.64E-04,4.6875,4.88687
-5.63E-04,4.6925,4.85688
-5.63E-04,4.69031,4.86281
-5.63E-04,4.70187,4.86531
-5.63E-04,4.70031,4.86406
-5.63E-04,4.68375,4.86375
-5.62E-04,4.70344,4.86406
-5.62E-04,4.695,4.87281
-5.62E-04,4.70281,4.86656
-5.62E-04,4.70438,4.87469
-5.62E-04,4.68781,4.86531
-5.61E-04,4.69656,4.86094
-5.61E-04,4.70219,4.86031
-5.61E-04,4.70187,4.855
-5.61E-04,4.69375,4.87219
-5.61E-04,4.69406,4.85688
-5.60E-04,4.69688,4.86125
-5.60E-04,4.69,4.87375
-5.60E-04,4.69656,4.87438
-5.60E-04,4.69062,4.8575
-5.60E-04,4.68875,4.86563
-5.59E-04,4.70438,4.87375
-5.59E-04,4.70031,4.8675
-5.59E-04,4.69094,4.86969
-5.59E-04,4.69281,4.86594
-5.59E-04,4.69313,4.8575
-5.58E-04,4.68531,4.87281
-5.58E-04,4.70406,4.86188
-5.58E-04,4.68531,4.82031
-5.58E-04,4.6925,4.90344
-5.58E-04,4.68625,4.88687
-5.57E-04,4.68625,4.85813
-5.57E-04,4.68938,4.86188
-5.57E-04,4.69313,4.86969
-5.57E-04,4.69688,4.86719
-5.57E-04,4.69656,4.86844
-5.56E-04,4.68781,4.86781
-5.56E-04,4.68688,4.865
-5.56E-04,4.69156,4.86969
-5.56E-04,4.69813,4.86156
-5.56E-04,4.69156,4.86781
-5.55E-04,4.69344,4.87188
-5.55E-04,4.69344,4.86625
-5.55E-04,4.69906,4.86625
-5.55E-04,4.71125,4.77156
-5.55E-04,4.69562,4.99812
-5.54E-04,4.71,4.81563
-5.54E-04,4.70438,4.86344
-5.54E-04,4.69469,4.86813
-5.54E-04,4.68031,4.84469
-5.54E-04,4.69281,4.86937
-5.53E-04,4.69281,4.85656
-5.53E-04,4.69813,4.85375
-5.53E-04,4.70344,4.86781
-5.53E-04,4.68938,4.85406
-5.53E-04,4.69906,4.87438
-5.52E-04,4.68875,4.87
-5.52E-04,4.70469,4.87281
-5.52E-04,4.69969,4.86
-5.52E-04,4.69375,4.85156
-5.52E-04,4.69156,4.8625
-5.51E-04,4.6975,4.85813
-5.51E-04,4.69281,4.86906
-5.51E-04,4.69625,4.87
-5.51E-04,4.69281,4.86313
-5.51E-04,4.69156,4.86313
-5.50E-04,4.7075,4.86156
-5.50E-04,4.69531,4.86813
-5.50E-04,4.69344,4.87563
-5.50E-04,4.69813,4.87125
-5.50E-04,4.69969,4.86594
-5.49E-04,4.69875,4.87625
-5.49E-04,4.69531,4.85594
-5.49E-04,4.68875,4.86
-5.49E-04,4.70469,4.83531
-5.49E-04,4.68375,4.86375
-5.48E-04,4.69969,4.88563
-5.48E-04,4.69375,4.87094
-5.48E-04,4.69313,4.86344
-5.48E-04,4.69813,4.86
-5.48E-04,4.69875,4.86219
-5.47E-04,4.70594,4.87438
-5.47E-04,4.69656,4.86906
-5.47E-04,4.69531,4.86375
-5.47E-04,4.69219,4.86063
-5.47E-04,4.69469,4.86594
-5.46E-04,4.69156,4.86219
-5.46E-04,4.7,4.86438
-5.46E-04,4.70156,4.84781
-5.46E-04,4.69781,4.86375
-5.46E-04,4.69719,4.93656
-5.45E-04,4.68281,4.77
-5.45E-04,4.69656,4.90094
-5.45E-04,4.69719,4.83906
-5.45E-04,4.70219,4.87063
-5.45E-04,4.69375,4.86375
-5.44E-04,4.68594,4.85125
-5.44E-04,4.68562,4.87219
-5.44E-04,4.69094,4.85688
-5.44E-04,4.68844,4.86625
-5.44E-04,4.70344,4.87375
-5.43E-04,4.69688,4.86688
-5.43E-04,4.69406,4.87
-5.43E-04,4.69313,4.86531
-5.43E-04,4.70219,4.86594
-5.43E-04,4.69688,4.86438
-5.42E-04,4.68844,4.86281
-5.42E-04,4.68063,4.85375
-5.42E-04,4.69062,4.87969
-5.42E-04,4.70031,4.85688
-5.42E-04,4.68156,4.86063
-5.41E-04,4.68906,4.86656
-5.41E-04,4.68844,4.86688
-5.41E-04,4.69688,4.86375
-5.41E-04,4.69562,4.86594
-5.41E-04,4.69437,4.85969
-5.40E-04,4.70937,4.85688
-5.40E-04,4.70031,4.86656
-5.40E-04,4.70063,4.86156
-5.40E-04,4.69406,4.84938
-5.40E-04,4.69719,4.86156
-5.39E-04,4.68812,4.83125
-5.39E-04,4.69656,4.90469
-5.39E-04,4.7075,4.86688
-5.39E-04,4.69906,4.85938
-5.39E-04,4.69562,4.85594
-5.38E-04,4.695,4.87063
-5.38E-04,4.69156,4.87
-5.38E-04,4.69531,4.865
-5.38E-04,4.70063,4.86156
-5.38E-04,4.70562,4.86563
-5.37E-04,4.69156,4.86688
-5.37E-04,4.70094,4.87375
-5.37E-04,4.69531,4.86031
-5.37E-04,4.69281,4.86469
-5.37E-04,4.68187,4.86281
-5.36E-04,4.68594,4.96719
-5.36E-04,4.72156,4.73094
-5.36E-04,4.68688,4.8775
-5.36E-04,4.70469,4.87031
-5.36E-04,4.7,4.83594
-5.35E-04,4.70344,4.85406
-5.35E-04,4.69594,4.85313
-5.35E-04,4.70594,4.86937
-5.35E-04,4.695,4.85781
-5.35E-04,4.69656,4.87406
-5.34E-04,4.69562,4.86969
-5.34E-04,4.69375,4.865
-5.34E-04,4.69281,4.84969
-5.34E-04,4.69875,4.86125
-5.34E-04,4.69437,4.85469
-5.33E-04,4.71,4.88281
-5.33E-04,4.69656,4.85594
-5.33E-04,4.69594,4.86813
-5.33E-04,4.70281,4.87406
-5.33E-04,4.70406,4.86906
-5.32E-04,4.68969,4.86438
-5.32E-04,4.69625,4.8625
-5.32E-04,4.70156,4.86438
-5.32E-04,4.68781,4.87031
-5.32E-04,4.71188,4.86844
-5.31E-04,4.69688,4.86844
-5.31E-04,4.705,4.86438
-5.31E-04,4.69719,4.87219
-5.31E-04,4.70281,4.85562
-5.31E-04,4.68156,4.87
-5.30E-04,4.70344,4.86906
-5.30E-04,4.69844,4.81875
-5.30E-04,4.68844,4.90125
-5.30E-04,4.70344,4.85781
-5.30E-04,4.695,4.85375
-5.29E-04,4.69375,4.85031
-5.29E-04,4.69437,4.85656
-5.29E-04,4.69313,4.86375
-5.29E-04,4.70094,4.85562
-5.29E-04,4.69937,4.87219
-5.28E-04,4.70031,4.865
-5.28E-04,4.68125,4.85906
-5.28E-04,4.69406,4.86344
-5.28E-04,4.7,4.85594
-5.28E-04,4.69062,4.87063
-5.27E-04,4.6975,4.865
-5.27E-04,4.7,4.85594
-5.27E-04,4.70406,4.92344
-5.27E-04,4.69313,4.77281
-5.27E-04,4.68719,4.88625
-5.26E-04,4.69906,4.85438
-5.26E-04,4.70406,4.86844
-5.26E-04,4.69937,4.85875
-5.26E-04,4.705,4.86438
-5.26E-04,4.69781,4.86531
-5.25E-04,4.69344,4.86375
-5.25E-04,4.69594,4.86719
-5.25E-04,4.68781,4.87563
-5.25E-04,4.70156,4.86063
-5.25E-04,4.7025,4.86313
-5.24E-04,4.68594,4.85656
-5.24E-04,4.69031,4.86438
-5.24E-04,4.7,4.87219
-5.24E-04,4.69688,4.87031
-5.24E-04,4.70312,4.86781
-5.23E-04,4.7,4.85656
-5.23E-04,4.69688,4.8675
-5.23E-04,4.69469,4.86969
-5.23E-04,4.69719,4.85938
-5.23E-04,4.70063,4.86313
-5.22E-04,4.68281,4.86031
-5.22E-04,4.69094,4.85938
-5.22E-04,4.69937,4.86469
-5.22E-04,4.69469,4.88188
-5.22E-04,4.70281,4.87406
-5.21E-04,4.68875,4.86
-5.21E-04,4.69094,4.86281
-5.21E-04,4.69406,4.80625
-5.21E-04,4.70063,4.92
-5.21E-04,4.70562,4.88313
-5.20E-04,4.70969,4.855
-5.20E-04,4.70562,4.86656
-5.20E-04,4.69937,4.86125
-5.20E-04,4.69281,4.86563
-5.20E-04,4.69281,4.8575
-5.19E-04,4.69562,4.86219
-5.19E-04,4.695,4.87125
-5.19E-04,4.69062,4.85344
-5.19E-04,4.69156,4.87375
-5.19E-04,4.7,4.85531
-5.18E-04,4.70031,4.86344
-5.18E-04,4.6975,4.86344
-5.18E-04,4.69562,4.86563
-5.18E-04,4.69469,4.89844
-5.18E-04,4.69781,4.80563
-5.17E-04,4.70562,4.86625
-5.17E-04,4.69062,4.87594
-5.17E-04,4.70063,4.85688
-5.17E-04,4.70812,4.86375
-5.17E-04,4.69562,4.86781
-5.16E-04,4.70656,4.86313
-5.16E-04,4.68469,4.85969
-5.16E-04,4.69844,4.86906
-5.16E-04,4.69094,4.85406
-5.16E-04,4.70031,4.86563
-5.15E-04,4.70156,4.87594
-5.15E-04,4.695,4.86031
-5.15E-04,4.7025,4.8675
-5.15E-04,4.68531,4.86719
-5.15E-04,4.69125,4.86594
-5.14E-04,4.69937,4.8675
-5.14E-04,4.69,4.8675
-5.14E-04,4.69281,4.86344
-5.14E-04,4.69062,4.86406
-5.14E-04,4.70344,4.85625
-5.13E-04,4.69469,4.875
-5.13E-04,4.69437,4.86375
-5.13E-04,4.68969,4.86781
-5.13E-04,4.68938,4.86188
-5.13E-04,4.69688,4.87
-5.12E-04,4.69875,4.86656
-5.12E-04,4.69875,4.84781
-5.12E-04,4.68625,4.86656
-5.12E-04,4.69781,4.81281
-5.12E-04,4.6975,4.91281
-5.11E-04,4.7,4.88875
-5.11E-04,4.69562,4.85531
-5.11E-04,4.69875,4.85344
-5.11E-04,4.70125,4.85406
-5.11E-04,4.69719,4.86563
-5.10E-04,4.69,4.86188
-5.10E-04,4.69281,4.86219
-5.10E-04,4.68906,4.85375
-5.10E-04,4.68781,4.86469
-5.10E-04,4.69437,4.86156
-5.09E-04,4.70156,4.86625
-5.09E-04,4.6825,4.855
-5.09E-04,4.70406,4.86531
-5.09E-04,4.70875,4.87344
-5.09E-04,4.71375,4.87906
-5.08E-04,4.68594,4.83969
-5.08E-04,4.69594,4.88156
-5.08E-04,4.69844,4.84281
-5.08E-04,4.69437,4.86688
-5.08E-04,4.69969,4.86594
-5.07E-04,4.68531,4.86156
-5.07E-04,4.70625,4.85688
-5.07E-04,4.68688,4.86219
-5.07E-04,4.69719,4.85031
-5.07E-04,4.69219,4.86406
-5.06E-04,4.70312,4.85938
-5.06E-04,4.70187,4.85594
-5.06E-04,4.68656,4.86219
-5.06E-04,4.70125,4.87438
-5.06E-04,4.68781,4.87188
-5.05E-04,4.69437,4.85813
-5.05E-04,4.69813,4.86375
-5.05E-04,4.7025,4.86937
-5.05E-04,4.70031,4.85625
-5.05E-04,4.68406,4.86625
-5.04E-04,4.70656,4.85938
-5.04E-04,4.68187,4.8625
-5.04E-04,4.68875,4.855
-5.04E-04,4.68719,4.87594
-5.04E-04,4.68812,4.86594
-5.03E-04,4.69844,4.86969
-5.03E-04,4.69156,4.86375
-5.03E-04,4.69656,4.87
-5.03E-04,4.70312,4.865
-5.03E-04,4.69031,4.86594
-5.02E-04,4.68844,4.80344
-5.02E-04,4.69313,4.90813
-5.02E-04,4.69937,4.88469
-5.02E-04,4.69562,4.87281
-5.02E-04,4.69344,4.86625
-5.01E-04,4.68313,4.86563
